State of Geography A,County Name of Geography A,State of Geography B,County Name of Geography B,B-A_Estimate,MOE,A-B_Estimate,MOE,Net_Estimate,MOE,Gross_Estimate,MOE
Georgia,Appling County,Colorado,Arapahoe County,0,,76,57,-76,57,76,57
Georgia,Appling County,Florida,Duval County,0,,66,68,-66,68,66,68
Georgia,Appling County,Florida,Nassau County,6,9,0,,6,9,6,9
Georgia,Appling County,Florida,Polk County,7,13,0,,7,13,7,13
Georgia,Appling County,Georgia,Atkinson County,9,13,6,10,3,16,15,17
Georgia,Appling County,Georgia,Bacon County,6,25,65,66,-59,65,71,76
Georgia,Appling County,Georgia,Baldwin County,0,,178,183,-178,183,178,183
Georgia,Appling County,Georgia,Barrow County,0,,12,19,-12,19,12,19
Georgia,Appling County,Georgia,Bartow County,0,,22,27,-22,27,22,27
Georgia,Appling County,Georgia,Bibb County,0,,15,18,-15,18,15,18
Georgia,Appling County,Georgia,Bleckley County,0,,22,30,-22,30,22,30
Georgia,Appling County,Georgia,Brantley County,10,16,0,,10,16,10,16
Georgia,Appling County,Georgia,Bulloch County,5,8,135,106,-130,108,140,104
Georgia,Appling County,Georgia,Camden County,0,,42,62,-42,62,42,62
Georgia,Appling County,Georgia,Chatham County,12,21,75,53,-63,58,87,56
Georgia,Appling County,Georgia,Clarke County,0,,31,45,-31,45,31,45
Georgia,Appling County,Georgia,Clayton County,0,,27,36,-27,36,27,36
Georgia,Appling County,Georgia,Cobb County,11,16,60,94,-49,96,71,95
Georgia,Appling County,Georgia,Coweta County,5,10,45,59,-40,60,50,60
Georgia,Appling County,Georgia,DeKalb County,0,,8,12,-8,12,8,12
Georgia,Appling County,Georgia,Dodge County,0,,17,30,-17,30,17,30
Georgia,Appling County,Georgia,Dougherty County,5,9,3,5,2,11,8,10
Georgia,Appling County,Georgia,Early County,0,,123,112,-123,112,123,112
Georgia,Appling County,Georgia,Effingham County,0,,197,206,-197,206,197,206
Georgia,Appling County,Georgia,Evans County,0,,2,5,-2,5,2,5
Georgia,Appling County,Georgia,Fayette County,2,5,0,,2,5,2,5
Georgia,Appling County,Georgia,Floyd County,7,9,27,33,-20,34,34,34
Georgia,Appling County,Georgia,Forsyth County,5,9,0,,5,9,5,9
